artist,country,releaseyear
Birds of Tokyo,Australia,2008
The Living End,Australia,2008
Kaiser Chiefs,UK,2008
Josh Pyke,Australia,2008
Architecture in Helsinki,Australia,2008
Vampire Weekend,USA,2008
Cog,Australia,2008
The Kooks,UK,2008
The Grates,Australia,2008
Nick Cave & The Bad Seeds,Australia,2008
Death Cab For Cutie,USA,2008
Cold War Kids,USA,2008
Bliss n Eso,Australia,2008
Soko,France,2008
Emiliana Torrini,Iceland,2008
Laura Marling,UK,2008
Art vs Science,Australia,2008
Muscles,Australia,2008
Lily Allen,UK,2008
Little Red,Australia,2008
Something With Numbers,Australia,2008
Mystery Jets,UK,2008
Ash Grunwald,Australia,2008
The Killers,USA,2008
The Butterfly Effect,Australia,2008
Ween,USA,2008
Santogold,USA,2008
The Getaway Plan,Australia,2008
Faker,Australia,2008
"Does It Offend You, Yeah?",UK,2008
Fleet Foxes,USA,2008
Children Collide,Australia,2008
Hot Chip,UK,2008
Tame Impala,Australia,2008
Yves Klein Blue,Australia,2008
The Ting Tings,UK,2008
Sparkadia,Australia,2008
Weezer,USA,2008
Franz Ferdinand,UK,2008
Rise Against,USA,2008
Gyroscope,Australia,2008
Muph & Plutonic,Australia,2008
Jack White and Alicia Keys,USA,2008
Metallica,USA,2008
Kanye West,USA,2008
Lisa Mitchell,Australia,2008
Pendulum,Australia,2008
Sigur Ros,Iceland,2008
Wiley,UK,2008
Lyrics Born,USA,2008
Eskimo Joe,Australia,2006
Hilltop Hoods,Australia,2006
The Killers,USA,2006
Gnarls Barkley,USA,2006
Snow Patrol,UK,2006
The Grates,Australia,2006
Little Birdy,Australia,2006
The John Butler Trio,Australia,2006
My Chemical Romance,USA,2006
OK Go,USA,2006
Lily Allen,UK,2006
Peter Bjorn and John,Sweden,2006
Lupe Fiasco,USA,2006
Regina Spektor,USA,2006
Youth Group,Australia,2006
Tool,USA,2006
Yeah Yeah Yeahs,USA,2006
Placebo,UK,2006
Camille,France,2006
The Strokes,USA,2006
The Saboteurs,USA,2006
Arctic Monkeys,UK,2006
The Butterfly Effect,Australia,2006
The Cops,Australia,2006
Red Hot Chili Peppers,USA,2006
Bob Evans,Australia,2006
Josh Pyke,Australia,2006
Basement Jaxx,UK,2006
Angus and Julia Stone,Australia,2006
Lady Sovereign,UK,2006
Karnivool,Australia,2006
AFI,USA,2006
Pony Up!,Canada,2006
Something for Kate,Australia,2006
The Herd,Australia,2006
The Living End,Australia,2006
Wolfmother,Australia,2006
Sarah Blasko,Australia,2006
Hot Chip,UK,2006
Foo Fighters,USA,2006
Justice Vs Simian,France,2006
Something With Numbers,Australia,2006
Bloc Party,UK,2006
Darren Hanlon,Australia,2006
Beck,USA,2006
Ben Folds,USA,2006
Jet,Australia,2006
Matisyahu,USA,2006
Ben Kweller,USA,2006
Freestylers/Pendulum,Australia,2006
Butterfingers,Australia,2006
Thom Yorke,UK,2006
Infadels,UK,2006
Kanye West,USA,2006
Ben Harper,USA,2006
Pendulum,Australia,2006
Jurassic 5,USA,2006
Panic! at the Disco,USA,2006
Red Riders,Australia,2006
Pearl Jam,USA,2006
The Gossip,USA,2006
Audioslave,USA,2006
Blue King Brown,Australia,2006
Smashing Pumpkins,USA,1995
Presidents of the U.S.A.,USA,1995
Everclear,USA,1995
Custard,Australia,1995
Nick Cave & The Bad Seeds and Kylie Minogue,Australia,1995
TISM,Australia,1995
Mindless Drug Hoover,UK,1995
Jeff Buckley,USA,1995
Garbage,UK,1995
Regurgitator,Australia,1995
Jill Sobule,USA,1995
Tripping Daisy,USA,1995
Red Hot Chili Peppers,USA,1995
Live,USA,1995
Passengers,Ireland,1995
You Am I,Australia,1995
Insurge,Australia,1995
Neil Young,Canada,1995
Ammonia,Australia,1995
Faith No More,USA,1995
Natalie Merchant,USA,1995
Rancid,USA,1995
Swoop,Australia,1995
Bush,UK,1995
Pearl Jam,USA,1995
Tricky,UK,1995
Foo Fighters,USA,1995
Alanis Morissette,Canada,1995
Skunk Anansie,UK,1995
Sonic Youth,USA,1995
Spiderbait,Australia,1995
Portishead,UK,1995
Green Day,USA,1995
Christine Anu,Australia,1995
Technohead,UK,1995
White Zombie,USA,1995
Buffalo Tom,USA,1995
